Rank;Sourceid;Title;Type;Issn;SJR;SJR Quartile;H index;Total Docs. (2022);Total Docs. (3years);Total Refs.;Total Cites (3years);Citable Docs. (3years);Cites / Doc. (2years);Ref. / Doc.;%Female;Overton;SDG;Country;Region;Publisher;Coverage;Categories;Areas
106;24568;"Advances in Applied Probability";journal;"00018678, 14756064";0,612;Q2;63;41;121;1275;148;121;1,22;31,10;20,45;0;1;United Kingdom;Western Europe;"Cambridge University Press";"1969-1971, 1973-1976, 1984, 1996-2023";"Applied Mathematics (Q2); Statistics and Probability (Q2)";"Mathematics"
107;21101065510;"Data-Centric Engineering";journal;"26326736";0,605;Q2;11;28;40;1491;164;39;4,10;53,25;16,51;0;8;United Kingdom;Western Europe;"Cambridge University Press";"2020-2023";"Applied Mathematics (Q2); Computer Science Applications (Q2); Engineering (miscellaneous) (Q2); Statistics and Probability (Q2)";"Computer Science; Engineering; Mathematics"
108;21101093023;"Probability, Uncertainty and Quantitative Risk";journal;"23670126, 20959672";0,601;Q2;11;21;33;536;51;33;1,37;25,52;21,43;0;1;United States;Northern America;"American Institute of Mathematical Sciences";"2016-2023";"Applied Mathematics (Q2); Statistics and Probability (Q2); Statistics, Probability and Uncertainty (Q2)";"Decision Sciences; Mathematics"
109;21100198229;"Statistics Surveys";journal;"19357516";0,586;Q2;26;6;11;1013;28;11;2,71;168,83;31,58;0;0;United States;Northern America;"Institute of Mathematical Statistics";"2007-2023";"Statistics and Probability (Q2); Statistics, Probability and Uncertainty (Q2)";"Decision Sciences; Mathematics"
110;21100415545;"International Journal for Uncertainty Quantification";journal;"21525080, 21525099";0,584;Q2;27;25;89;1210;162;84;2,02;48,40;13,41;0;1;United States;Northern America;"Begell House Inc.";"2014-2023";"Control and Optimization (Q2); Discrete Mathematics and Combinatorics (Q2); Modeling and Simulation (Q2); Statistics and Probability (Q2)";"Mathematics"
111;21101049065;"International Journal of Interactive Multimedia and Artificial Intelligence";journal;"19891660";0,580;Q2;23;70;183;2856;667;171;3,66;40,80;23,32;0;9;Spain;Western Europe;"Universidad Internacional de la Rioja";"2019-2023";"Computer Networks and Communications (Q2); Computer Science Applications (Q2); Computer Vision and Pattern Recognition (Q2); Signal Processing (Q2); Statistics and Probability (Q2); Artificial Intelligence (Q3)";"Computer Science; Mathematics"
112;19700177406;"Dynamic Games and Applications";journal;"21530785, 21530793";0,579;Q2;29;57;131;2385;197;128;1,32;41,84;21,49;0;21;United States;Northern America;"Springer Science + Business Media";"2011-2023";"Applied Mathematics (Q2); Computational Mathematics (Q2); Computational Theory and Mathematics (Q2); Computer Graphics and Computer-Aided Design (Q2); Computer Science Applications (Q2); Economics and Econometrics (Q2); Statistics and Probability (Q2)";"Computer Science; Economics, Econometrics and Finance; Mathematics"
113;145213;"Extremes";journal;"13861999";0,578;Q2;37;23;88;811;124;87;1,31;35,26;20,37;0;0;Netherlands;Western Europe;"Springer Netherlands";"2004-2023";"Economics, Econometrics and Finance (miscellaneous) (Q1); Engineering (miscellaneous) (Q2); Statistics and Probability (Q2)";"Economics, Econometrics and Finance; Engineering; Mathematics"
114;26924;"Statistical Inference for Stochastic Processes";journal;"13870874";0,575;Q2;22;25;68;747;66;67;0,88;29,88;25,00;1;0;Netherlands;Western Europe;"Springer Netherlands";"2001, 2005-2023";"Statistics and Probability (Q2)";"Mathematics"
115;14188;"Statistica Neerlandica";journal;"00390402, 14679574";0,567;Q2;43;19;84;656;99;79;1,31;34,53;25,45;0;1;United Kingdom;Western Europe;"Wiley-Blackwell Publishing Ltd";"1946, 1948-2023";"Statistics and Probability (Q2); Statistics, Probability and Uncertainty (Q2)";"Decision Sciences; Mathematics"
116;29663;"Journal of Theoretical Biology";journal;"10958541, 00225193";0,566;Q2;173;207;898;11283;2013;881;2,09;54,51;32,79;2;88;United States;Northern America;"Academic Press";"1961-2023";"Agricultural and Biological Sciences (miscellaneous) (Q1); Applied Mathematics (Q2); Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q2); Immunology and Microbiology (miscellaneous)  (Q2); Medicine (miscellaneous) (Q2); Modeling and Simulation (Q2); Statistics and Probability (Q2)";"Agricultural and Biological Sciences; Biochemistry, Genetics and Molecular Biology; Immunology and Microbiology; Mathematics; Medicine"
117;11800154594;"AStA Advances in Statistical Analysis";journal;"1863818X, 18638171";0,562;Q2;33;30;78;968;96;77;1,16;32,27;30,77;1;4;Germany;Western Europe;"Springer Verlag";"2008-2023";"Analysis (Q2); Applied Mathematics (Q2); Economics and Econometrics (Q2); Modeling and Simulation (Q2); Social Sciences (miscellaneous) (Q2); Statistics and Probability (Q2)";"Economics, Econometrics and Finance; Mathematics; Social Sciences"
118;26386;"Electronic Communications in Probability";journal;"1083589X";0,560;Q2;38;63;228;1172;124;228;0,52;18,60;20,83;0;0;United States;Northern America;"Institute of Mathematical Statistics";"1996-2023";"Statistics and Probability (Q2); Statistics, Probability and Uncertainty (Q2)";"Decision Sciences; Mathematics"
119;15810;"Probability in the Engineering and Informational Sciences";journal;"02699648, 14698951";0,557;Q2;41;68;121;1835;164;121;1,28;26,99;19,86;0;2;United Kingdom;Western Europe;"Cambridge University Press";"1987-2023";"Industrial and Manufacturing Engineering (Q2); Statistics and Probability (Q2); Statistics, Probability and Uncertainty (Q2); Management Science and Operations Research (Q3)";"Decision Sciences; Engineering; Mathematics"
120;23179;"Environmental and Ecological Statistics";journal;"13528505, 15733009";0,556;Q2;53;37;91;1451;312;86;3,84;39,22;29,36;0;9;Netherlands;Western Europe;"Springer Netherlands";"1994-2023";"Environmental Science (miscellaneous) (Q2); Statistics and Probability (Q2); Statistics, Probability and Uncertainty (Q2)";"Decision Sciences; Environmental Science; Mathematics"
121;145729;"Statistical Methods and Applications";journal;"16182510, 1613981X";0,548;Q2;34;62;143;2306;161;132;0,89;37,19;39,10;1;18;Germany;Western Europe;"";"1996-1997, 2000-2023";"Statistics and Probability (Q2); Statistics, Probability and Uncertainty (Q2)";"Decision Sciences; Mathematics"
122;21100825516;"Random Matrices: Theory and Application";journal;"20103263, 20103271";0,545;Q2;20;39;84;1296;73;83;0,88;33,23;23,88;0;1;Singapore;Asiatic Region;"World Scientific";"2012-2023";"Algebra and Number Theory (Q2); Discrete Mathematics and Combinatorics (Q2); Statistics and Probability (Q2); Statistics, Probability and Uncertainty (Q3)";"Decision Sciences; Mathematics"
123;4000152132;"International Journal of Biostatistics";journal;"15574679";0,540;Q2;44;39;63;1534;101;62;1,37;39,33;46,22;0;11;Germany;Western Europe;"Walter de Gruyter GmbH";"2006-2023";"Medicine (miscellaneous) (Q2); Statistics and Probability (Q2); Statistics, Probability and Uncertainty (Q3)";"Decision Sciences; Mathematics; Medicine"
