Rank;Sourceid;Title;Type;Issn;SJR;SJR Quartile;H index;Total Docs. (2022);Total Docs. (3years);Total Refs.;Total Cites (3years);Citable Docs. (3years);Cites / Doc. (2years);Ref. / Doc.;%Female;Overton;SDG;Country;Region;Publisher;Coverage;Categories;Areas
164;21100464776;"Statistics, Optimization and Information Computing";journal;"23105070, 2311004X";0,332;Q3;19;76;188;2495;234;188;1,37;32,83;26,80;0;7;United States;Northern America;"International Academic Press";"2013-2023";"Artificial Intelligence (Q3); Computer Vision and Pattern Recognition (Q3); Control and Optimization (Q3); Information Systems (Q3); Signal Processing (Q3); Statistics and Probability (Q3); Statistics, Probability and Uncertainty (Q3)";"Computer Science; Decision Sciences; Mathematics"
165;19400157155;"Hacettepe Journal of Mathematics and Statistics";journal;"2651477X, 13035010";0,329;Q3;36;124;468;3128;417;468;0,84;25,23;32,54;0;2;Turkey;Middle East;"Hacettepe University";"2008-2023";"Algebra and Number Theory (Q3); Analysis (Q3); Geometry and Topology (Q3); Statistics and Probability (Q3)";"Mathematics"
166;21101049616;"Japanese Journal of Statistics and Data Science";journal;"25208764";0,329;Q3;7;41;39;1119;58;38;1,70;27,29;19,15;0;8;Germany;Western Europe;"Springer Science and Business Media B.V.";"2019-2023";"Computational Theory and Mathematics (Q3); Statistics and Probability (Q3)";"Computer Science; Mathematics"
167;25957;"ESAIM - Probability and Statistics";journal;"12928100, 12623318";0,328;Q3;30;17;90;594;46;90;0,46;34,94;16,28;0;0;France;Western Europe;"EDP Sciences";"1997-2023";"Statistics and Probability (Q3)";"Mathematics"
168;12838;"Metron";journal;"00261424, 2281695X";0,328;Q3;25;20;63;626;61;59;0,74;31,30;43,48;0;2;Italy;Western Europe;"Springer-Verlag Italia s.r.l.";"1973-1974, 1999-2023";"Statistics and Probability (Q3)";"Mathematics"
169;21100941066;"Frontiers in Applied Mathematics and Statistics";journal;"22974687";0,324;Q3;21;133;224;5602;342;204;1,35;42,12;24,93;1;28;Switzerland;Western Europe;"Frontiers Media SA";"2015-2023";"Applied Mathematics (Q3); Statistics and Probability (Q3)";"Mathematics"
170;21100901137;"Journal of Statistical Distributions and Applications";journal;"21955832";0,317;Q3;19;0;36;0;53;36;1,74;0,00;0,00;0;0;Germany;Western Europe;"SpringerOpen";"2014-2015, 2017-2021";"Computer Science Applications (Q3); Statistics and Probability (Q3); Statistics, Probability and Uncertainty (Q3)";"Computer Science; Decision Sciences; Mathematics"
171;130128;"Journal of Mathematical Sciences";journal;"10723374, 15738795";0,314;Q3;43;568;1545;10478;553;1544;0,38;18,45;30,71;0;3;United States;Northern America;"Springer Science and Business Media Deutschland GmbH";"1994-2023";"Applied Mathematics (Q3); Mathematics (miscellaneous) (Q3); Statistics and Probability (Q3)";"Mathematics"
172;23241;"International Journal of Game Theory";journal;"14321270, 00207276";0,311;Q3;48;26;148;613;86;148;0,58;23,58;20,83;0;0;Germany;Western Europe;"Springer Verlag";"1971, 1973-2023";"Social Sciences (miscellaneous) (Q2); Economics and Econometrics (Q3); Mathematics (miscellaneous) (Q3); Statistics and Probability (Q3); Statistics, Probability and Uncertainty (Q3)";"Decision Sciences; Economics, Econometrics and Finance; Mathematics; Social Sciences"
173;20088;"Vital and health statistics. Ser. 1: Programs and collection procedures";journal;"00832014, 23328401";0,310;Q3;18;5;5;0;8;5;2,00;0,00;37,50;0;3;United States;Northern America;"U.S. National Center for Health Statistics";"1963-1978, 1981, 1985-1987, 1989-1990, 1992-1994, 1997, 1999, 2002-2003, 2005, 2007-2015, 2017-2023";"Health Information Management (Q3); Medicine (miscellaneous) (Q3); Statistics and Probability (Q3)";"Health Professions; Mathematics; Medicine"
174;21100901158;"EURO Journal on Decision Processes";journal;"21939446, 21939438";0,303;Q3;19;15;30;1073;40;28;1,00;71,53;45,31;0;9;Germany;Western Europe;"Elsevier B.V.";"2013-2023";"Applied Mathematics (Q3); Business, Management and Accounting (miscellaneous) (Q3); Computational Mathematics (Q3); Decision Sciences (miscellaneous) (Q3); Statistics and Probability (Q3)";"Business, Management and Accounting; Decision Sciences; Mathematics"
175;21100916741;"Journal of Verification, Validation and Uncertainty Quantification";journal;"23772158, 23772166";0,303;Q3;13;21;76;670;75;75;0,88;31,90;13,95;0;2;United States;Northern America;"The American Society of Mechanical Engineers(ASME)";"2016-2023";"Computational Theory and Mathematics (Q3); Computer Science Applications (Q3); Modeling and Simulation (Q3); Statistics and Probability (Q3)";"Computer Science; Mathematics"
176;14828;"Stochastic Models";journal;"15326349, 15324214";0,302;Q3;39;30;81;847;51;78;0,72;28,23;20,31;0;2;United States;Northern America;"Taylor and Francis Ltd.";"2002-2023";"Applied Mathematics (Q3); Modeling and Simulation (Q3); Statistics and Probability (Q3)";"Mathematics"
177;6000194782;"Games";journal;"20734336";0,295;Q3;22;82;205;3127;187;200;0,90;38,13;25,60;0;11;Switzerland;Western Europe;"Multidisciplinary Digital Publishing Institute (MDPI)";"2010-2023";"Applied Mathematics (Q3); Statistics and Probability (Q3); Statistics, Probability and Uncertainty (Q3)";"Decision Sciences; Mathematics"
178;4300151408;"Significance";journal;"17409713, 17409705";0,295;Q3;26;67;292;318;145;64;0,52;4,75;43,33;1;14;United Kingdom;Western Europe;"Oxford University Press";"2004-2022";"Statistics and Probability (Q3)";"Mathematics"
179;12008;"Teruleti Statisztika";journal;"20648251, 00187828";0,295;Q3;13;26;91;1551;135;90;1,69;59,65;28,57;0;14;Hungary;Eastern Europe;"Hungarian Central Statistical Office";"1980, 1982-1983, 1985, 2016-2023";"Economics and Econometrics (Q3); Geography, Planning and Development (Q3); Statistics and Probability (Q3)";"Economics, Econometrics and Finance; Mathematics; Social Sciences"
180;21100838017;"Sankhya B";journal;"09768394, 09768386";0,293;Q3;13;37;85;1109;79;84;0,60;29,97;20,25;0;2;India;Asiatic Region;"Springer India";"2010-2023";"Applied Mathematics (Q3); Statistics and Probability (Q3); Statistics, Probability and Uncertainty (Q3)";"Decision Sciences; Mathematics"
181;21100201965;"Journal of Statistical Theory and Practice";journal;"15598616, 15598608";0,289;Q3;24;69;215;2059;152;214;0,65;29,84;28,00;1;9;Switzerland;Western Europe;"Springer Nature";"2007-2023";"Statistics and Probability (Q3)";"Mathematics"
182;21100854726;"International Journal of Mathematics and Computer Science";journal;"18140432, 18140424";0,287;Q3;13;167;334;2021;259;334;0,72;12,10;42,31;0;7;United States;Northern America;"Badih Ghusayni";"2017-2024";"Algebra and Number Theory (Q3); Applied Mathematics (Q3); Computational Mathematics (Q3); Computer Science (miscellaneous) (Q3); Discrete Mathematics and Combinatorics (Q3); Modeling and Simulation (Q3); Numerical Analysis (Q3); Statistics and Probability (Q3)";"Computer Science; Mathematics"
183;21101021861;"Zhurnal Belorusskogo Gosudarstvennogo Universiteta. Matematika. Informatika";journal;"25206508, 26173956";0,285;Q3;4;29;88;458;33;86;0,34;15,79;36,96;0;1;Belarus;Eastern Europe;"The Belarusian State University";"2017-2023";"Algebra and Number Theory (Q3); Computational Theory and Mathematics (Q3); Discrete Mathematics and Combinatorics (Q3); Statistics and Probability (Q3)";"Computer Science; Mathematics"
184;21100898991;"Modern Stochastics: Theory and Applications";journal;"23516046, 23516054";0,284;Q3;7;22;68;533;45;67;0,47;24,23;19,05;0;0;Lithuania;Eastern Europe;"VTeX";"2018-2023";"Modeling and Simulation (Q3); Statistics and Probability (Q3); Statistics, Probability and Uncertainty (Q3)";"Decision Sciences; Mathematics"
185;28426;"Australian and New Zealand Journal of Statistics";journal;"1467842X, 13691473";0,283;Q3;46;24;81;851;74;80;0,90;35,46;30,36;0;2;United Kingdom;Western Europe;"Wiley-Blackwell Publishing Ltd";"1998-2023";"Statistics and Probability (Q3); Statistics, Probability and Uncertainty (Q3)";"Decision Sciences; Mathematics"
186;19039;"Statistical Applications in Genetics and Molecular Biology";journal;"15446115";0,280;Q3;51;8;55;332;45;55;0,87;41,50;26,09;0;2;Germany;Western Europe;"Walter de Gruyter GmbH";"2004-2023";"Computational Mathematics (Q3); Statistics and Probability (Q3); Genetics (Q4); Molecular Biology (Q4)";"Biochemistry, Genetics and Molecular Biology; Mathematics"
187;19700201685;"Revstat Statistical Journal";journal;"21830371, 16456726";0,279;Q3;20;33;98;951;79;96;0,80;28,82;26,87;0;3;Portugal;Western Europe;"Instituto Nacional De Estatistica";"2010-2023";"Statistics and Probability (Q3)";"Mathematics"
188;21100204917;"Statistics Education Research Journal";journal;"15701824";0,274;Q3;19;26;73;1188;41;64;0,42;45,69;57,81;0;2;New Zealand;Pacific Region;"International Association for Statistical Education (IASE)";"2011-2023";"Education (Q3); Statistics and Probability (Q3)";"Mathematics; Social Sciences"
189;21100838045;"Sankhya A";journal;"0976836X, 09768378";0,272;Q3;11;29;78;892;62;77;0,69;30,76;16,67;0;2;India;Asiatic Region;"Springer India";"2010-2023";"Statistics and Probability (Q3); Statistics, Probability and Uncertainty (Q3)";"Decision Sciences; Mathematics"
190;21101027631;"Journal of Privacy and Confidentiality";journal;"25758527";0,270;Q3;9;9;40;450;73;37;1,56;50,00;20,69;0;0;United States;Northern America;"Cornell University";"2019-2023";"Computer Science Applications (Q3); Computer Science (miscellaneous) (Q3); Statistics and Probability (Q3)";"Computer Science; Mathematics"
191;21100466426;"Communications in Mathematics and Statistics";journal;"21946701, 2194671X";0,269;Q3;16;43;73;1305;65;73;0,88;30,35;29,47;0;3;Germany;Western Europe;"Springer Verlag";"2013-2023";"Applied Mathematics (Q3); Computational Mathematics (Q3); Statistics and Probability (Q3)";"Mathematics"
192;12441;"Open Systems and Information Dynamics";journal;"17937191, 12301612";0,262;Q4;36;22;65;730;51;62;0,78;33,18;20,45;0;0;Singapore;Asiatic Region;"World Scientific";"1992-1995, 1997-2023";"Computational Mechanics (Q3); Fluid Flow and Transfer Processes (Q3); Information Systems (Q3); Mechanics of Materials (Q3); Physical and Theoretical Chemistry (Q3); Mathematical Physics (Q4); Statistical and Nonlinear Physics (Q4); Statistics and Probability (Q4)";"Chemical Engineering; Chemistry; Computer Science; Engineering; Mathematics; Physics and Astronomy"
193;19900192611;"Probability and Mathematical Statistics";journal;"02084147";0,260;Q4;12;17;67;315;27;67;0,32;18,53;5,13;0;0;Poland;Eastern Europe;"PWN-Polish Scientific Publishers";"2011-2023";"Statistics and Probability (Q4)";"Mathematics"
194;13375;"Psicologica";journal;"02112159, 15768597";0,259;Q4;23;6;25;346;21;25;0,68;57,67;57,89;0;1;Spain;Western Europe;"Digital CSIC";"2004-2021";"Arts and Humanities (miscellaneous) (Q2); Psychology (miscellaneous) (Q3); Developmental and Educational Psychology (Q4); Experimental and Cognitive Psychology (Q4); Statistics and Probability (Q4)";"Arts and Humanities; Mathematics; Psychology"
195;21100199332;"Monte Carlo Methods and Applications";journal;"09299629, 15693961";0,258;Q4;27;27;72;650;45;72;0,59;24,07;27,66;0;1;Germany;Western Europe;"Walter de Gruyter GmbH";"1995-2023";"Applied Mathematics (Q3); Statistics and Probability (Q4)";"Mathematics"
196;21100858348;"Croatian Operational Research Review";journal;"18480225, 18489931";0,250;Q4;10;17;66;475;71;66;0,85;27,94;36,84;0;4;Croatia;Eastern Europe;"Croatian Operational Research Society";"2017-2023";"Economics and Econometrics (Q3); Applied Mathematics (Q4); Management Science and Operations Research (Q4); Statistics and Probability (Q4); Statistics, Probability and Uncertainty (Q4)";"Decision Sciences; Economics, Econometrics and Finance; Mathematics"
197;21100981084;"European Journal of Pure and Applied Mathematics";journal;"13075543";0,246;Q4;11;154;324;2771;214;323;0,71;17,99;37,39;0;3;United States;Northern America;"New York Business Global";"2019-2023";"Algebra and Number Theory (Q4); Applied Mathematics (Q4); Geometry and Topology (Q4); Numerical Analysis (Q4); Statistics and Probability (Q4); Theoretical Computer Science (Q4)";"Mathematics"
198;21101041527;"Chilean Journal of Statistics";journal;"07187912, 07187920";0,244;Q4;5;13;39;365;22;33;0,48;28,08;19,05;0;1;Chile;Latin America;"Chilean Statistical Society";"2019-2023";"Statistics and Probability (Q4)";"Mathematics"
199;21101027245;"Journal of Statistical Theory and Applications";journal;"15387887, 22141766";0,239;Q4;10;13;117;435;104;117;0,90;33,46;27,27;0;1;France;Western Europe;"Springer International Publishing AG";"2019-2023";"Applied Mathematics (Q4); Computer Science Applications (Q4); Statistics and Probability (Q4)";"Computer Science; Mathematics"
200;21100241760;"Markov Processes and Related Fields";journal;"10242953";0,239;Q4;10;27;70;736;19;65;0,26;27,26;20,00;0;2;Russian Federation;Eastern Europe;"Polymat";"2012-2023";"Applied Mathematics (Q4); Statistics and Probability (Q4)";"Mathematics"
201;20062;"Economie et Statistique";journal;"17775574, 03361454";0,238;Q4;16;26;62;935;42;58;0,18;35,96;35,80;3;15;France;Western Europe;"Institut National de la Statistique et des Etudes Economiques";"1977-1998, 2007-2023";"Economics and Econometrics (Q3); Sociology and Political Science (Q3); Statistics and Probability (Q4)";"Economics, Econometrics and Finance; Mathematics; Social Sciences"
202;21100858129;"International Journal of Applied Metaheuristic Computing";journal;"19478283, 19478291";0,238;Q4;8;7;98;216;99;98;0,75;30,86;52,17;0;1;United States;Northern America;"IGI Global Publishing";"2016, 2018-2023";"Computational Mathematics (Q4); Computational Theory and Mathematics (Q4); Computer Science Applications (Q4); Control and Optimization (Q4); Decision Sciences (miscellaneous) (Q4); Modeling and Simulation (Q4); Statistics and Probability (Q4)";"Computer Science; Decision Sciences; Mathematics"
203;21100855990;"Journal of Dynamics and Games";journal;"21646074";0,238;Q4;11;29;69;964;57;68;0,88;33,24;10,77;0;7;United States;Northern America;"American Institute of Mathematical Sciences";"2014-2022";"Applied Mathematics (Q4); Modeling and Simulation (Q4); Statistics and Probability (Q4)";"Mathematics"
204;21100855508;"Dependence Modeling";journal;"23002298";0,236;Q4;14;20;63;689;40;60;0,57;34,45;20,83;0;3;Poland;Eastern Europe;"Walter de Gruyter GmbH";"2013-2023";"Applied Mathematics (Q4); Modeling and Simulation (Q4); Statistics and Probability (Q4)";"Mathematics"
205;21100199320;"Random Operators and Stochastic Equations";journal;"09266364, 1569397X";0,234;Q4;20;24;65;429;22;65;0,31;17,88;17,14;0;0;Germany;Western Europe;"Walter de Gruyter GmbH";"1993-2023";"Analysis (Q4); Statistics and Probability (Q4)";"Mathematics"
206;7100153149;"Model Assisted Statistics and Applications";journal;"15741699";0,232;Q4;14;32;89;669;41;80;0,52;20,91;43,10;0;7;Netherlands;Western Europe;"IOS Press BV";"2005, 2007-2023";"Applied Mathematics (Q4); Modeling and Simulation (Q4); Statistics and Probability (Q4)";"Mathematics"
207;21100834346;"Thailand Statistician";journal;"23510676, 16859057";0,230;Q4;10;61;121;1293;82;120;0,68;21,20;35,09;0;2;Thailand;Asiatic Region;"Thai Statistical Association";"2017-2023";"Computational Mathematics (Q4); Statistics and Probability (Q4)";"Mathematics"
208;19700175084;"Revista Colombiana de Estadistica";journal;"01201751";0,229;Q4;22;21;48;558;35;42;0,72;26,57;28,26;0;1;Colombia;Latin America;"Universidad Nacional de Colombia";"2001-2023";"Statistics and Probability (Q4)";"Mathematics"
209;144884;"WSEAS Transactions on Mathematics";journal;"11092769";0,228;Q4;24;109;212;2433;146;212;0,76;22,32;37,57;0;6;Greece;Western Europe;"World Scientific and Engineering Academy and Society";"2005-2014, 2017-2023";"Algebra and Number Theory (Q4); Applied Mathematics (Q4); Computational Mathematics (Q4); Control and Optimization (Q4); Discrete Mathematics and Combinatorics (Q4); Endocrinology, Diabetes and Metabolism (Q4); Management Science and Operations Research (Q4); Statistics and Probability (Q4)";"Decision Sciences; Mathematics; Medicine"
210;144810;"Journal of Modern Applied Statistical Methods";journal;"15389472";0,227;Q4;40;0;87;0;66;87;0,38;0,00;0,00;0;0;United States;Northern America;"Wayne State University";"2002-2021";"Statistics and Probability (Q4); Statistics, Probability and Uncertainty (Q4)";"Decision Sciences; Mathematics"
211;21100216944;"Electronic Journal of Applied Statistical Analysis";journal;"20705948";0,225;Q4;18;34;100;1125;101;100;0,92;33,09;35,71;0;5;Italy;Western Europe;"ESE - Salento University Publishing";"2008-2023";"Modeling and Simulation (Q4); Statistics and Probability (Q4)";"Mathematics"
212;19700182104;"International Journal of Agricultural and Statistical Sciences (discontinued)";journal;"09763392, 09731903";0,223;Q4;18;108;697;2559;425;697;0,60;23,69;33,62;0;20;India;Asiatic Region;"DAV College";"2009-2022";"Agricultural and Biological Sciences (miscellaneous) (Q3); Applied Mathematics (Q4); Statistics and Probability (Q4)";"Agricultural and Biological Sciences; Mathematics"
213;21100905277;"Mathematics and Statistics";journal;"23322071, 23322144";0,221;Q4;9;137;252;3050;166;252;0,65;22,26;38,28;0;10;United States;Northern America;"Horizon Research Publishing";"2018-2023";"Economics and Econometrics (Q3); Statistics and Probability (Q4); Statistics, Probability and Uncertainty (Q4)";"Decision Sciences; Economics, Econometrics and Finance; Mathematics"
214;21100855735;"Communications for Statistical Applications and Methods";journal;"22877843, 23834757";0,218;Q4;10;49;141;1077;93;141;0,45;21,98;38,46;0;8;South Korea;Asiatic Region;"Korean Statistical Society";"2017-2023";"Finance (Q3); Applied Mathematics (Q4); Modeling and Simulation (Q4); Statistics and Probability (Q4); Statistics, Probability and Uncertainty (Q4)";"Decision Sciences; Economics, Econometrics and Finance; Mathematics"
215;21100238614;"Journal of Applied Probability and Statistics";journal;"19306792";0,218;Q4;9;21;59;577;49;56;0,94;27,48;40,00;0;2;Pakistan;Asiatic Region;"Islamic Countries Society of Statistical Sciences";"2012-2021";"Podiatry (Q3); Applied Mathematics (Q4); Statistics and Probability (Q4)";"Health Professions; Mathematics"
216;21100466423;"Global and Stochastic Analysis";journal;"22489444";0,217;Q4;11;21;68;384;24;68;0,36;18,29;38,46;0;0;India;Asiatic Region;"MUK Publications and Distribution";"2014-2023";"Discrete Mathematics and Combinatorics (Q4); Statistics and Probability (Q4)";"Mathematics"
217;21100886421;"Letters in Biomathematics";journal;"23737867";0,217;Q4;13;8;47;329;37;43;0,59;41,13;15,38;0;6;United States;Northern America;"";"2014-2023";"Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q3); Applied Mathematics (Q4); Statistics and Probability (Q4)";"Biochemistry, Genetics and Molecular Biology; Mathematics"
218;21100211724;"Intelligent Decision Technologies";journal;"18724981, 18758843";0,216;-;19;60;151;2076;177;145;1,06;34,60;35,25;0;22;Netherlands;Western Europe;"IOS Press BV";"2007-2023";"Artificial Intelligence (Q4); Computer Vision and Pattern Recognition (Q4); Human-Computer Interaction (Q4); Software (Q4)";"Computer Science"
219;14844;"Survey Methodology";journal;"14920921, 07140045";0,212;Q4;24;21;56;701;35;56;0,54;33,38;32,56;0;1;Canada;Northern America;"Statistics Canada";"1987-1988, 1992, 2008-2023";"Modeling and Simulation (Q4); Statistics and Probability (Q4)";"Mathematics"
220;21100948959;"Communications in Statistics Case Studies Data Analysis and Applications";journal;"23737484";0,211;Q4;8;41;101;1364;63;96;0,59;33,27;28,04;0;11;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"2015-2023";"Analysis (Q4); Applied Mathematics (Q4); Statistics and Probability (Q4)";"Mathematics"
221;21100407607;"Statistics in Transition";journal;"24500291, 12347655";0,210;Q4;12;51;149;1179;98;145;0,66;23,12;34,04;0;7;Poland;Eastern Europe;"";"2015-2023";"Statistics and Probability (Q4); Statistics, Probability and Uncertainty (Q4)";"Decision Sciences; Mathematics"
222;12007;"Statisztikai Szemle";journal;"00390690";0,208;Q4;4;41;120;1573;47;119;0,39;38,37;28,57;0;11;Hungary;Eastern Europe;"Kozponti Statisztikai Hivatal";"1946, 1948, 1977-1999, 2019-2023";"Demography (Q3); Social Sciences (miscellaneous) (Q3); Applied Mathematics (Q4); Economics and Econometrics (Q4); Statistics and Probability (Q4)";"Economics, Econometrics and Finance; Mathematics; Social Sciences"
223;21100870373;"Turkish World Mathematical Society Journal of Applied and Engineering Mathematics";journal;"21461147, 25871013";0,203;Q4;11;139;352;2720;174;352;0,47;19,57;29,03;0;2;Turkey;Middle East;"Isik University";"2018-2023";"Applied Mathematics (Q4); Computational Mathematics (Q4); Control and Optimization (Q4); Discrete Mathematics and Combinatorics (Q4); Mathematical Physics (Q4); Numerical Analysis (Q4); Statistics and Probability (Q4)";"Mathematics"
224;21100890652;"British Actuarial Journal";journal;"13573217, 20440456";0,201;Q4;6;23;44;510;25;35;0,45;22,17;21,43;0;4;United Kingdom;Western Europe;"Cambridge University Press";"2018-2023";"Economics and Econometrics (Q4); Statistics and Probability (Q4); Statistics, Probability and Uncertainty (Q4)";"Decision Sciences; Economics, Econometrics and Finance; Mathematics"
225;21100843362;"Stochastics and Quality Control";journal;"23672390, 23672404";0,201;Q4;15;15;31;436;19;30;0,65;29,07;12,50;0;3;Germany;Western Europe;"Walter de Gruyter GmbH";"2001-2013, 2017-2023";"Safety, Risk, Reliability and Quality (Q3); Applied Mathematics (Q4); Discrete Mathematics and Combinatorics (Q4); Statistics and Probability (Q4); Statistics, Probability and Uncertainty (Q4)";"Decision Sciences; Engineering; Mathematics"
226;21100200205;"Journal of the Iranian Statistical Society";journal;"17264057";0,199;Q4;10;8;55;218;30;55;0,51;27,25;20,00;0;1;Iran;Middle East;"Iranian Statistical Society";"2011-2022";"Statistics and Probability (Q4)";"Mathematics"
227;21100444451;"Austrian Journal of Statistics";journal;"1026597X";0,195;Q4;14;28;86;827;56;85;0,71;29,54;23,64;0;2;Austria;Western Europe;"Austrian Society for Statistics";"2014-2023";"Applied Mathematics (Q4); Statistics and Probability (Q4); Statistics, Probability and Uncertainty (Q4)";"Decision Sciences; Mathematics"
228;21101042317;"Journal of Systems Science and Information";journal;"14789906, 25126660";0,195;Q4;8;36;114;1395;90;112;0,76;38,75;39,81;0;15;China;Asiatic Region;"Science China Press";"2019-2023";"Economics, Econometrics and Finance (miscellaneous) (Q3); Applied Mathematics (Q4); Computer Networks and Communications (Q4); Control and Systems Engineering (Q4); Decision Sciences (miscellaneous) (Q4); Statistics and Probability (Q4)";"Computer Science; Decision Sciences; Economics, Econometrics and Finance; Engineering; Mathematics"
229;21100223159;"Investigacion Operacional";journal;"02574306, 22245405";0,193;Q4;16;60;197;1321;119;194;0,64;22,02;31,11;0;12;Cuba;Latin America;"Universidad de La Habana";"2012-2023";"Applied Mathematics (Q4); Numerical Analysis (Q4); Statistics and Probability (Q4)";"Mathematics"
230;21100200410;"Mathematical Methods of Statistics";journal;"19348045, 10665307";0,190;Q4;15;11;31;367;16;31;0,33;33,36;26,92;0;0;United States;Northern America;"Pleiades Publishing";"2007-2023";"Statistics and Probability (Q4); Statistics, Probability and Uncertainty (Q4)";"Decision Sciences; Mathematics"
231;11500153507;"Pakistan Journal of Statistics";journal;"10129367";0,189;Q4;21;26;59;653;41;59;0,78;25,12;20,00;0;2;Pakistan;Asiatic Region;"Pakistan Journal of Statistics";"2008-2023";"Statistics and Probability (Q4)";"Mathematics"
232;21100898973;"Journal of Statistics Applications and Probability";journal;"20908423, 20908431";0,187;Q4;13;99;156;2482;121;156;0,78;25,07;34,50;0;15;United States;Northern America;"Natural Sciences Publishing";"2018-2024";"Library and Information Sciences (Q3); Statistical and Nonlinear Physics (Q4); Statistics and Probability (Q4); Statistics, Probability and Uncertainty (Q4)";"Decision Sciences; Mathematics; Physics and Astronomy; Social Sciences"
233;21100923463;"Statistical Theory and Related Fields";journal;"24754277, 24754269";0,179;Q4;8;34;100;786;34;98;0,34;23,12;19,44;0;1;United States;Northern America;"Routledge";"2017-2023";"Analysis (Q4); Applied Mathematics (Q4); Computational Theory and Mathematics (Q4); Statistics and Probability (Q4); Statistics, Probability and Uncertainty (Q4)";"Computer Science; Decision Sciences; Mathematics"
234;21100218072;"Metodoloski Zvezki";journal;"18540031, 18540023";0,177;Q4;9;1;38;81;38;38;0,21;81,00;0,00;0;1;Slovenia;Eastern Europe;"Faculty of Social Sciences, University of Ljubljana";"2011-2022";"Social Sciences (miscellaneous) (Q3); Statistics and Probability (Q4)";"Mathematics; Social Sciences"
235;21100893243;"Journal of Risk Management in Financial Institutions";journal;"17528887, 17528895";0,170;Q4;7;34;85;1154;43;75;0,46;33,94;15,69;0;20;United Kingdom;Western Europe;"Henry Stewart Publications";"2018-2023";"Finance (Q4); Statistics and Probability (Q4); Statistics, Probability and Uncertainty (Q4)";"Decision Sciences; Economics, Econometrics and Finance; Mathematics"
236;21101079608;"Journal of Reliability and Statistical Studies";journal;"09748024, 22295666";0,168;Q4;7;23;81;658;63;81;0,87;28,61;23,53;0;6;Denmark;Western Europe;"River Publishers";"2019-2022";"Analysis (Q4); Numerical Analysis (Q4); Statistics and Probability (Q4)";"Mathematics"
237;21101028600;"Statistica Applicata";journal;"11251964, 20385587";0,168;Q4;4;15;46;616;15;44;0,21;41,07;65,22;0;4;Italy;Western Europe;"ASA Associazione per la Statistica Applicata";"2019-2023";"Applied Mathematics (Q4); Statistics and Probability (Q4); Statistics, Probability and Uncertainty (Q4)";"Decision Sciences; Mathematics"
238;21100871803;"Jordan Journal of Mathematics and Statistics";journal;"20757905, 22275487";0,163;Q4;7;71;110;1451;46;110;0,42;20,44;19,30;0;1;Jordan;Middle East;"Yarmouk University";"2018-2023";"Applied Mathematics (Q4); Mathematics (miscellaneous) (Q4); Statistics and Probability (Q4)";"Mathematics"
239;27928;"Utilitas Mathematica";journal;"03153681";0,160;Q4;32;9;164;159;47;164;0,19;17,67;29,41;0;1;Canada;Northern America;"Utilitas Mathematica Publishing Inc.";"1996-2014, 2016-2023";"Applied Mathematics (Q4); Statistics and Probability (Q4); Statistics, Probability and Uncertainty (Q4)";"Decision Sciences; Mathematics"
240;20300195019;"Risk and Decision Analysis";journal;"18759173, 15697371";0,153;Q4;10;0;9;0;4;9;0,44;0,00;0,00;0;0;Netherlands;Western Europe;"IOS Press";"2009-2014, 2016-2018, 2020-2021";"Economics and Econometrics (Q4); Finance (Q4); Statistics and Probability (Q4); Statistics, Probability and Uncertainty (Q4)";"Decision Sciences; Economics, Econometrics and Finance; Mathematics"
241;21100312404;"Theory of Stochastic Processes";journal;"03213900";0,153;Q4;7;5;26;93;5;26;0,00;18,60;33,33;0;0;Ukraine;Eastern Europe;"Institute of Mathematics, Ukrainian National Academy of Sciences";"2011-2012, 2014-2022";"Applied Mathematics (Q4); Modeling and Simulation (Q4); Statistics and Probability (Q4)";"Mathematics"
242;21100826265;"Communications on Stochastic Analysis";journal;"09739599, 26886669";0,145;Q4;9;0;21;0;12;20;0,00;0,00;0,00;0;0;India;Asiatic Region;"Serials Publications";"2017-2019";"Statistics and Probability (Q4)";"Mathematics"
243;21101023183;"Revista Brasileira de Biometria";journal;"19830823";0,145;Q4;5;1;100;32;164;99;0,28;32,00;60,00;0;1;Brazil;Latin America;"";"2019-2023";"Agricultural and Biological Sciences (miscellaneous) (Q4); Applied Mathematics (Q4); Epidemiology (Q4); Public Health, Environmental and Occupational Health (Q4); Statistics and Probability (Q4)";"Agricultural and Biological Sciences; Mathematics; Medicine"
244;21101048555;"Journal of Biostatistics and Epidemiology";journal;"23834196, 2383420X";0,139;Q4;6;36;98;1225;43;97;0,44;34,03;45,40;0;25;Iran;Middle East;"Tehran University of Medical Sciences";"2019-2022";"Epidemiology (Q4); Health Informatics (Q4); Public Health, Environmental and Occupational Health (Q4); Statistics and Probability (Q4)";"Mathematics; Medicine"
245;14135;"South African Statistical Journal";journal;"0038271X";0,139;Q4;11;6;34;156;13;34;0,21;26,00;22,22;0;1;South Africa;Africa;"South African Statistical Association";"1996-2023";"Statistics and Probability (Q4); Statistics, Probability and Uncertainty (Q4)";"Decision Sciences; Mathematics"
