Rank;Sourceid;Title;Type;Issn;SJR;SJR Quartile;H index;Total Docs. (2021);Total Docs. (3years);Total Refs.;Total Cites (3years);Citable Docs. (3years);Cites / Doc. (2years);Ref. / Doc.;%Female;Overton;SDG;Country;Region;Publisher;Coverage;Categories;Areas
17;25829;"Probability Theory and Related Fields";journal;"01788051, 14322064";2,215;Q1;88;71;236;2848;499;236;2,05;40,11;9,63;0;0;Germany;Western Europe;"Springer New York";"1986-2023";"Analysis (Q1); Statistics and Probability (Q1); Statistics, Probability and Uncertainty (Q1)";"Decision Sciences; Mathematics"
18;28632;"Biostatistics";journal;"14654644, 14684357";2,135;Q1;93;61;145;1682;655;140;4,48;27,57;26,29;1;19;United Kingdom;Western Europe;"Oxford University Press";"2003-2023";"Medicine (miscellaneous) (Q1); Statistics and Probability (Q1); Statistics, Probability and Uncertainty (Q1)";"Decision Sciences; Mathematics; Medicine"
19;12711;"Multivariate Behavioral Research";journal;"00273171, 15327906";2,049;Q1;97;50;197;2609;733;181;2,37;52,18;36,62;0;3;United States;Northern America;"Psychology Press Ltd";"1966-2023";"Arts and Humanities (miscellaneous) (Q1); Experimental and Cognitive Psychology (Q1); Medicine (miscellaneous) (Q1); Statistics and Probability (Q1)";"Arts and Humanities; Mathematics; Medicine; Psychology"
20;14756;"Statistical Science";journal;"08834237";2,014;Q1;119;42;160;2454;407;146;2,03;58,43;21,98;0;1;United States;Northern America;"Institute of Mathematical Statistics";"1986-2023";"Mathematics (miscellaneous) (Q1); Statistics and Probability (Q1); Statistics, Probability and Uncertainty (Q1)";"Decision Sciences; Mathematics"
21;21100199809;"Probability Surveys";journal;"15495787";2,010;Q1;42;7;19;467;52;19;3,00;66,71;10,00;0;0;United States;Northern America;"Institute of Mathematical Statistics";"2004-2022";"Statistics and Probability (Q1)";"Mathematics"
22;12773;"British Journal of Mathematical and Statistical Psychology";journal;"00071102, 20448317";1,991;Q1;60;34;85;1542;234;84;2,72;45,35;29,27;0;1;United States;Northern America;"Wiley-Blackwell";"1965-2023";"Arts and Humanities (miscellaneous) (Q1); Medicine (miscellaneous) (Q1); Psychology (miscellaneous) (Q1); Statistics and Probability (Q1)";"Arts and Humanities; Mathematics; Medicine; Psychology"
23;21100255423;"R Journal";journal;"20734859";1,892;Q1;60;92;189;2621;974;183;1,65;28,49;24,27;0;4;United States;Northern America;"R Foundation for Statistical Computing";"2009-2023";"Numerical Analysis (Q1); Statistics and Probability (Q1); Statistics, Probability and Uncertainty (Q1)";"Decision Sciences; Mathematics"
24;24710;"Annals of Applied Probability";journal;"10505164";1,799;Q1;89;87;282;3128;613;282;2,06;35,95;12,02;0;2;United States;Northern America;"Institute of Mathematical Statistics";"1996-2023";"Statistics and Probability (Q1); Statistics, Probability and Uncertainty (Q1)";"Decision Sciences; Mathematics"
25;4700152871;"Bernoulli";journal;"13507265";1,764;Q1;76;132;369;4676;691;369;1,86;35,42;20,56;0;3;Netherlands;Western Europe;"Bernoulli Society for Mathematical Statistics and Probability";"1995-2023";"Statistics and Probability (Q1)";"Mathematics"
26;15495;"Finance and Stochastics";journal;"14321122, 09492984";1,711;Q1;52;25;91;981;215;91;2,03;39,24;24,49;0;1;Germany;Western Europe;"Springer Verlag";"2004-2023";"Finance (Q1); Statistics and Probability (Q1); Statistics, Probability and Uncertainty (Q1)";"Decision Sciences; Economics, Econometrics and Finance; Mathematics"
27;14567;"Technometrics";journal;"15372723, 00401706";1,699;Q1;90;41;132;1501;342;124;1,91;36,61;18,10;0;3;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"1959-2023";"Applied Mathematics (Q1); Modeling and Simulation (Q1); Statistics and Probability (Q1)";"Mathematics"
28;23863;"Journal of Computational and Graphical Statistics";journal;"10618600, 15372715";1,682;Q1;102;79;251;3390;590;241;1,71;42,91;20,47;5;7;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"1992-2023";"Discrete Mathematics and Combinatorics (Q1); Statistics and Probability (Q1); Statistics, Probability and Uncertainty (Q1)";"Decision Sciences; Mathematics"
29;22902;"Oxford Bulletin of Economics and Statistics";journal;"03059049, 14680084";1,654;Q1;85;70;160;3288;386;160;2,70;46,97;26,47;32;29;United Kingdom;Western Europe;"Wiley-Blackwell Publishing Ltd";"1973-2023";"Economics and Econometrics (Q1); Social Sciences (miscellaneous) (Q1); Statistics and Probability (Q1); Statistics, Probability and Uncertainty (Q1)";"Decision Sciences; Economics, Econometrics and Finance; Mathematics; Social Sciences"
30;19900192726;"Electronic Journal of Statistics";journal;"19357524";1,501;Q1;59;162;373;6789;539;373;1,15;41,91;20,98;0;3;United States;Northern America;"Institute of Mathematical Statistics";"2007-2023";"Statistics and Probability (Q1); Statistics, Probability and Uncertainty (Q1)";"Decision Sciences; Mathematics"
31;23212;"Annales de l'institut Henri Poincare (B) Probability and Statistics";journal;"02460203";1,489;Q1;53;106;274;3267;372;274;1,40;30,82;16,60;0;0;Netherlands;Western Europe;"Institute of Mathematical Statistics";"1997-2023";"Statistics and Probability (Q1); Statistics, Probability and Uncertainty (Q1)";"Decision Sciences; Mathematics"
32;21100898787;"Stochastics and Partial Differential Equations: Analysis and Computations";journal;"2194041X, 21940401";1,460;Q1;19;26;61;730;90;61;1,52;28,08;19,30;0;0;United States;Northern America;"Springer New York";"2013-2023";"Applied Mathematics (Q1); Modeling and Simulation (Q1); Statistics and Probability (Q1)";"Mathematics"
33;5100155103;"Journal of Informetrics";journal;"18755879, 17511577";1,437;Q1;90;95;251;5594;1479;238;4,22;58,88;33,06;7;9;Netherlands;Western Europe;"Elsevier B.V.";"2007-2023";"Applied Mathematics (Q1); Computer Science Applications (Q1); Library and Information Sciences (Q1); Management Science and Operations Research (Q1); Modeling and Simulation (Q1); Statistics and Probability (Q1)";"Computer Science; Decision Sciences; Mathematics; Social Sciences"
34;145213;"Extremes";journal;"13861999";1,415;Q1;37;36;85;1090;115;84;1,13;30,28;28,75;0;3;Netherlands;Western Europe;"Springer Netherlands";"2004-2023";"Economics, Econometrics and Finance (miscellaneous) (Q1); Engineering (miscellaneous) (Q1); Statistics and Probability (Q1)";"Economics, Econometrics and Finance; Engineering; Mathematics"
35;25802;"Communications in Analysis and Geometry";journal;"10198385";1,401;Q1;47;60;122;1625;150;122;1,18;27,08;22,03;0;0;United States;Northern America;"International Press of Boston, Inc.";"1996-2022";"Analysis (Q1); Geometry and Topology (Q1); Statistics and Probability (Q1); Statistics, Probability and Uncertainty (Q1)";"Decision Sciences; Mathematics"
36;14231;"Statistical Methods in Medical Research";journal;"14770334, 09622802";1,397;Q1;104;167;741;5999;2123;719;2,15;35,92;35,09;2;59;United Kingdom;Western Europe;"SAGE Publications Ltd";"1992-2023";"Health Information Management (Q1); Statistics and Probability (Q1); Epidemiology (Q2)";"Health Professions; Mathematics; Medicine"
37;28861;"Biometrics";journal;"0006341X, 15410420";1,383;Q1;149;128;425;3568;935;412;1,68;27,88;34,70;3;49;United Kingdom;Western Europe;"Wiley-Blackwell Publishing Ltd";"1946-1951, 1965-2023";"Agricultural and Biological Sciences (miscellaneous) (Q1); Applied Mathematics (Q1); Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q1); Immunology and Microbiology (miscellaneous)  (Q1); Medicine (miscellaneous) (Q1); Statistics and Probability (Q1)";"Agricultural and Biological Sciences; Biochemistry, Genetics and Molecular Biology; Immunology and Microbiology; Mathematics; Medicine"
38;20086;"Statistics in Medicine";journal;"02776715, 10970258";1,371;Q1;216;423;1001;15250;2157;955;2,06;36,05;36,72;6;140;United Kingdom;Western Europe;"John Wiley and Sons Ltd";"1982-2023";"Statistics and Probability (Q1); Epidemiology (Q2)";"Mathematics; Medicine"
39;21100211345;"Annals of Applied Statistics";journal;"19417330, 19326157";1,314;Q1;84;98;302;4878;689;297;1,71;49,78;31,68;0;35;United States;Northern America;"Institute of Mathematical Statistics";"2008-2023";"Modeling and Simulation (Q1); Statistics and Probability (Q1); Statistics, Probability and Uncertainty (Q1)";"Decision Sciences; Mathematics"
40;26398;"Electronic Journal of Probability";journal;"10836489";1,301;Q1;52;156;404;5410;481;404;1,08;34,68;21,77;0;1;United States;Northern America;"Institute of Mathematical Statistics";"1996-2023";"Statistics and Probability (Q1); Statistics, Probability and Uncertainty (Q1)";"Decision Sciences; Mathematics"
41;21100797724;"Journal of Survey Statistics and Methodology";journal;"23250992, 23250984";1,235;Q1;24;53;85;2003;163;82;1,91;37,79;46,39;18;10;United States;Northern America;"Oxford University Press";"2013-2023";"Applied Mathematics (Q1); Social Sciences (miscellaneous) (Q1); Statistics and Probability (Q1); Statistics, Probability and Uncertainty (Q1)";"Decision Sciences; Mathematics; Social Sciences"
42;13530;"Journal of the Royal Statistical Society. Series A: Statistics in Society";journal;"09641998, 1467985X";1,191;Q1;94;91;194;3218;485;192;2,29;35,36;29,00;8;17;United Kingdom;Western Europe;"Oxford University Press";"1988-2023";"Economics and Econometrics (Q1); Social Sciences (miscellaneous) (Q1); Statistics and Probability (Q1); Statistics, Probability and Uncertainty (Q1)";"Decision Sciences; Economics, Econometrics and Finance; Mathematics; Social Sciences"
43;21100913561;"Swiss Journal of Economics and Statistics";journal;"22356282";1,170;Q1;17;11;62;350;129;60;2,74;31,82;26,09;4;9;Switzerland;Western Europe;"Springer Nature";"2007-2023";"Economics and Econometrics (Q1); Statistics and Probability (Q1)";"Economics, Econometrics and Finance; Mathematics"
44;14189;"Statistica Sinica";journal;"10170405";1,166;Q1;86;87;319;3039;319;293;0,98;34,93;32,75;0;4;Taiwan;Asiatic Region;"Institute of Statistical Science";"1996-2023";"Statistics and Probability (Q1); Statistics, Probability and Uncertainty (Q1)";"Decision Sciences; Mathematics"
45;26929;"Stochastic Processes and their Applications";journal;"03044149";1,144;Q1;85;138;590;4362;885;590;1,56;31,61;22,11;0;1;Netherlands;Western Europe;"Elsevier B.V.";"1973-2023";"Applied Mathematics (Q1); Modeling and Simulation (Q1); Statistics and Probability (Q1)";"Mathematics"
46;14882;"Test";journal;"11330686, 18638260";1,137;Q1;49;51;171;2160;322;129;1,10;42,35;33,06;1;3;United States;Northern America;"Springer New York";"1988, 1992-2023";"Statistics and Probability (Q1); Statistics, Probability and Uncertainty (Q1)";"Decision Sciences; Mathematics"
47;21100853526;"ACM Transactions on Economics and Computation";journal;"21678375, 21678383";1,134;Q1;23;25;65;784;168;61;3,14;31,36;19,35;0;2;United States;Northern America;"Association for Computing Machinery (ACM)";"2013-2023";"Computational Mathematics (Q1); Computer Science (miscellaneous) (Q1); Economics and Econometrics (Q1); Statistics and Probability (Q1); Marketing (Q2)";"Business, Management and Accounting; Computer Science; Economics, Econometrics and Finance; Mathematics"
48;23614;"Statistics and Computing";journal;"09603174, 15731375";1,125;Q1;85;80;252;3404;641;251;2,41;42,55;15,28;0;4;Netherlands;Western Europe;"Springer Netherlands";"1991-2023";"Computational Theory and Mathematics (Q1); Statistics and Probability (Q1); Statistics, Probability and Uncertainty (Q1); Theoretical Computer Science (Q1)";"Computer Science; Decision Sciences; Mathematics"
49;18400156705;"Set-Valued and Variational Analysis";journal;"18770541, 18770533";1,114;Q1;48;44;129;1311;199;123;1,41;29,80;21,79;0;0;Germany;Western Europe;"Springer Verlag";"2009-2023";"Analysis (Q1); Applied Mathematics (Q1); Geometry and Topology (Q1); Numerical Analysis (Q1); Statistics and Probability (Q1)";"Mathematics"
50;21100886430;"Forum of Mathematics, Sigma";journal;"20505094";1,096;Q1;23;83;112;2849;140;112;1,21;34,33;13,89;0;1;United Kingdom;Western Europe;"Cambridge University Press";"2013-2023";"Algebra and Number Theory (Q1); Analysis (Q1); Computational Mathematics (Q1); Discrete Mathematics and Combinatorics (Q1); Geometry and Topology (Q1); Mathematical Physics (Q1); Statistics and Probability (Q1); Theoretical Computer Science (Q1)";"Mathematics"
51;18111;"Insurance: Mathematics and Economics";journal;"01676687";1,073;Q1;86;125;298;4614;617;296;1,85;36,91;27,34;4;14;Netherlands;Western Europe;"Elsevier B.V.";"1982-2023";"Economics and Econometrics (Q1); Statistics and Probability (Q1); Statistics, Probability and Uncertainty (Q1)";"Decision Sciences; Economics, Econometrics and Finance; Mathematics"
52;21100830444;"SIAM-ASA Journal on Uncertainty Quantification";journal;"21662525";1,072;Q1;37;60;157;2842;407;157;2,13;47,37;15,19;0;4;United States;Northern America;"Society for Industrial and Applied Mathematics Publications";"2013-2023";"Applied Mathematics (Q1); Discrete Mathematics and Combinatorics (Q1); Modeling and Simulation (Q1); Statistics and Probability (Q1); Statistics, Probability and Uncertainty (Q1)";"Decision Sciences; Mathematics"
53;21100926541;"Information and Inference";journal;"20498772";1,070;Q1;30;38;66;1831;211;66;3,30;48,18;18,75;0;0;United States;Northern America;"Oxford University Press";"2012-2023";"Analysis (Q1); Applied Mathematics (Q1); Computational Theory and Mathematics (Q1); Numerical Analysis (Q1); Statistics and Probability (Q1)";"Computer Science; Mathematics"
54;12068;"International Statistical Review";journal;"03067734, 17515823";1,066;Q1;62;31;128;1454;272;107;1,39;46,90;25,00;3;1;United States;Northern America;"John Wiley & Sons Inc.";"1982, 1985, 1987, 1990, 1992-1994, 1996-2023";"Statistics and Probability (Q1); Statistics, Probability and Uncertainty (Q1)";"Decision Sciences; Mathematics"
55;14072;"Scandinavian Journal of Statistics";journal;"14679469, 03036898";1,065;Q1;70;54;154;2041;183;153;1,04;37,80;30,77;0;3;United Kingdom;Western Europe;"Wiley-Blackwell Publishing Ltd";"1996-2023";"Statistics and Probability (Q1); Statistics, Probability and Uncertainty (Q1)";"Decision Sciences; Mathematics"
56;14233;"Statistical Papers";journal;"09325026, 16139798";1,058;Q1;46;120;299;4028;456;296;1,46;33,57;35,00;0;3;United States;Northern America;"Springer New York";"1983, 1988-2023";"Statistics and Probability (Q1); Statistics, Probability and Uncertainty (Q2)";"Decision Sciences; Mathematics"
57;21100886542;"Journal of Management Analytics";journal;"23270039, 23270012";1,041;Q1;32;32;70;1934;496;70;6,98;60,44;35,44;1;10;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"2014-2023";"Business, Management and Accounting (miscellaneous) (Q1); Statistics and Probability (Q1); Statistics, Probability and Uncertainty (Q2)";"Business, Management and Accounting; Decision Sciences; Mathematics"
58;23947;"Journal of Multivariate Analysis";journal;"0047259X, 10957243";1,040;Q1;89;91;331;3105;472;327;1,23;34,12;25,63;0;2;United States;Northern America;"Academic Press Inc.";"1971-2024";"Numerical Analysis (Q1); Statistics and Probability (Q1); Statistics, Probability and Uncertainty (Q2)";"Decision Sciences; Mathematics"
59;21100198229;"Statistics Surveys";journal;"19357516";1,034;Q1;26;4;12;519;45;12;2,29;129,75;14,29;0;0;United States;Northern America;"Institute of Mathematical Statistics";"2007-2023";"Statistics and Probability (Q1); Statistics, Probability and Uncertainty (Q2)";"Decision Sciences; Mathematics"
60;21100902965;"Measurement";journal;"15366367, 15366359";1,031;Q1;21;16;52;439;91;52;1,69;27,44;37,14;2;1;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"2010-2023";"Applied Mathematics (Q1); Education (Q1); Statistics and Probability (Q1)";"Mathematics; Social Sciences"
61;28461;"Computational Statistics and Data Analysis";journal;"01679473";1,016;Q2;132;165;482;6158;938;478;1,86;37,32;30,49;1;16;Netherlands;Western Europe;"Elsevier B.V.";"1983-2024";"Applied Mathematics (Q1); Computational Mathematics (Q1); Computational Theory and Mathematics (Q1); Statistics and Probability (Q2)";"Computer Science; Mathematics"
62;15424;"Measurement: Journal of the International Measurement Confederation";journal;"02632241";0,996;Q2;130;1553;3159;65229;17034;3144;5,47;42,00;24,39;2;182;Netherlands;Western Europe;"Elsevier B.V.";"1983-2023";"Applied Mathematics (Q1); Condensed Matter Physics (Q1); Education (Q1); Electrical and Electronic Engineering (Q1); Instrumentation (Q1); Statistics and Probability (Q2)";"Engineering; Mathematics; Physics and Astronomy; Social Sciences"
63;21100897526;"Journal of Causal Inference";journal;"21933685, 21933677";0,975;Q2;13;16;41;701;127;41;2,20;43,81;22,22;0;2;Germany;Western Europe;"Walter de Gruyter GmbH";"2018-2023";"Statistics and Probability (Q2); Statistics, Probability and Uncertainty (Q2)";"Decision Sciences; Mathematics"
64;13533;"Journal of the Royal Statistical Society. Series C: Applied Statistics";journal;"00359254, 14679876";0,975;Q2;80;63;202;2720;402;202;1,54;43,17;39,17;1;16;United Kingdom;Western Europe;"Oxford University Press";"1981, 1983-1991, 1993, 1996-2023";"Statistics and Probability (Q2); Statistics, Probability and Uncertainty (Q2)";"Decision Sciences; Mathematics"
65;28070;"Combinatorics Probability and Computing";journal;"09635483, 14692163";0,974;Q2;56;64;153;1609;148;151;0,89;25,14;14,72;0;0;United Kingdom;Western Europe;"Cambridge University Press";"1992-2023";"Applied Mathematics (Q1); Computational Theory and Mathematics (Q1); Statistics and Probability (Q2); Theoretical Computer Science (Q2)";"Computer Science; Mathematics"
66;19700186880;"Wiley Interdisciplinary Reviews: Computational Statistics";journal;"19395108, 19390068";0,973;Q2;54;32;77;2790;248;77;2,27;87,19;21,88;0;0;United States;Northern America;"John Wiley & Sons Inc.";"2009-2023";"Statistics and Probability (Q2)";"Mathematics"
67;13734;"Biometrical Journal";journal;"03233847, 15214036";0,951;Q2;75;96;320;3378;621;290;1,45;35,19;32,88;0;32;Germany;Western Europe;"Wiley-VCH Verlag";"1970, 1977-2023";"Medicine (miscellaneous) (Q1); Statistics and Probability (Q2); Statistics, Probability and Uncertainty (Q2)";"Decision Sciences; Mathematics; Medicine"
68;21564;"Environmetrics";journal;"1099095X, 11804009";0,945;Q2;68;41;149;1702;233;142;1,60;41,51;36,84;1;8;United Kingdom;Western Europe;"John Wiley and Sons Ltd";"1990-2023";"Ecological Modeling (Q1); Statistics and Probability (Q2)";"Environmental Science; Mathematics"
69;19700177406;"Dynamic Games and Applications";journal;"21530785, 21530793";0,938;Q2;29;35;139;1297;290;135;2,40;37,06;17,57;0;3;United States;Northern America;"Springer Science + Business Media";"2011-2023";"Applied Mathematics (Q1); Computational Mathematics (Q2); Computational Theory and Mathematics (Q2); Computer Graphics and Computer-Aided Design (Q2); Computer Science Applications (Q2); Economics and Econometrics (Q2); Statistics and Probability (Q2)";"Computer Science; Economics, Econometrics and Finance; Mathematics"
70;26386;"Electronic Communications in Probability";journal;"1083589X";0,929;Q2;38;71;258;1296;202;258;0,75;18,25;14,66;0;0;United States;Northern America;"Institute of Mathematical Statistics";"1996-2023";"Statistics and Probability (Q2); Statistics, Probability and Uncertainty (Q2)";"Decision Sciences; Mathematics"
71;21100941752;"Advanced Theory and Simulations";journal;"25130390";0,924;Q2;39;171;401;8681;1534;397;3,87;50,77;23,56;1;36;Germany;Western Europe;"Wiley-VCH Verlag";"2018-2023";"Modeling and Simulation (Q1); Multidisciplinary (Q1); Numerical Analysis (Q1); Statistics and Probability (Q2)";"Mathematics; Multidisciplinary"
72;20043;"Scandinavian Actuarial Journal";journal;"03461238, 16512030";0,911;Q2;44;42;132;1585;218;132;1,44;37,74;26,55;1;3;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"1918-2023";"Economics and Econometrics (Q2); Statistics and Probability (Q2); Statistics, Probability and Uncertainty (Q2)";"Decision Sciences; Economics, Econometrics and Finance; Mathematics"
73;29115;"Physica A: Statistical Mechanics and its Applications";journal;"03784371";0,891;Q2;187;855;4487;36638;16253;4469;3,84;42,85;27,49;4;198;Netherlands;Western Europe;"Elsevier B.V.";"1975-2023";"Condensed Matter Physics (Q1); Statistical and Nonlinear Physics (Q1); Statistics and Probability (Q2)";"Mathematics; Physics and Astronomy"
74;12140;"Journal of Time Series Analysis";journal;"01439782, 14679892";0,875;Q2;61;40;149;1199;163;139;0,90;29,98;12,66;2;1;United States;Northern America;"Wiley-Blackwell";"1980-2023";"Applied Mathematics (Q2); Statistics and Probability (Q2); Statistics, Probability and Uncertainty (Q2)";"Decision Sciences; Mathematics"
75;19372;"Quality and Quantity";journal;"00335177, 15737845";0,865;Q2;78;113;512;6489;2195;502;2,63;57,42;39,34;10;39;Netherlands;Western Europe;"Springer Netherlands";"1967-2023";"Social Sciences (miscellaneous) (Q1); Statistics and Probability (Q2)";"Mathematics; Social Sciences"
76;21100836195;"Econometrics and Statistics";journal;"24523062";0,854;Q2;16;57;120;2522;152;113;1,17;44,25;28,46;5;7;Netherlands;Western Europe;"Elsevier B.V.";"2017-2023";"Economics and Econometrics (Q2); Statistics and Probability (Q2); Statistics, Probability and Uncertainty (Q2)";"Decision Sciences; Economics, Econometrics and Finance; Mathematics"
77;5200152822;"Advances in Data Analysis and Classification";journal;"18625347, 18625355";0,852;Q2;39;40;131;1615;281;121;2,07;40,38;28,83;0;2;Germany;Western Europe;"Springer Verlag";"2007-2023";"Applied Mathematics (Q2); Computer Science Applications (Q2); Statistics and Probability (Q2)";"Computer Science; Mathematics"
78;21100855841;"Physical Review E";journal;"24700045, 24700053";0,847;Q2;325;1922;6163;97080;16134;6158;2,64;50,51;17,78;0;84;United States;Northern America;"American Physical Society";"1993-2023";"Condensed Matter Physics (Q1); Statistical and Nonlinear Physics (Q2); Statistics and Probability (Q2)";"Mathematics; Physics and Astronomy"
79;144935;"Statistical Modelling";journal;"1471082X";0,796;Q2;50;27;85;873;142;78;0,86;32,33;38,81;0;4;United Kingdom;Western Europe;"SAGE Publications Ltd";"2001-2023";"Statistics and Probability (Q2); Statistics, Probability and Uncertainty (Q2)";"Decision Sciences; Mathematics"
80;20088;"Vital and health statistics. Ser. 1: Programs and collection procedures";journal;"00832014, 23328401";0,788;Q2;18;3;4;0;6;4;0,50;0,00;60,00;0;1;United States;Northern America;"U.S. National Center for Health Statistics";"1963-1978, 1981, 1985-1987, 1989-1990, 1992-1994, 1997, 1999, 2002-2003, 2005, 2007-2015, 2017-2023";"Health Information Management (Q2); Medicine (miscellaneous) (Q2); Statistics and Probability (Q2)";"Health Professions; Mathematics; Medicine"
