Rank;Sourceid;Title;Type;Issn;SJR;SJR Quartile;H index;Total Docs. (2021);Total Docs. (3years);Total Refs.;Total Cites (3years);Citable Docs. (3years);Cites / Doc. (2years);Ref. / Doc.;%Female;Overton;SDG;Country;Region;Publisher;Coverage;Categories;Areas
1;24721;"Annals of Mathematics";journal;"0003486X";6,677;Q1;137;33;104;1444;598;104;5,46;43,76;8,57;0;0;United States;Northern America;"Department of Mathematics at Princeton University";"1996-2023";"Mathematics (miscellaneous) (Q1); Statistics and Probability (Q1); Statistics, Probability and Uncertainty (Q1)";"Decision Sciences; Mathematics"
2;13649;"Annals of Statistics";journal;"00905364";6,350;Q1;192;174;376;8174;1858;373;4,79;46,98;19,74;0;4;United States;Northern America;"Institute of Mathematical Statistics";"1996-2023";"Statistics and Probability (Q1); Statistics, Probability and Uncertainty (Q1)";"Decision Sciences; Mathematics"
3;13531;"Journal of the Royal Statistical Society. Series B: Statistical Methodology";journal;"14679868, 13697412";6,251;Q1;151;44;127;1898;661;125;4,43;43,14;25,47;1;6;United Kingdom;Western Europe;"Oxford University Press";"1997-2023";"Statistics and Probability (Q1); Statistics, Probability and Uncertainty (Q1)";"Decision Sciences; Mathematics"
4;27162;"Journal of Business and Economic Statistics";journal;"07350015, 15372707";5,241;Q1;118;69;199;2793;913;180;5,18;40,48;17,69;26;12;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"1983-2023";"Economics and Econometrics (Q1); Social Sciences (miscellaneous) (Q1); Statistics and Probability (Q1); Statistics, Probability and Uncertainty (Q1)";"Decision Sciences; Economics, Econometrics and Finance; Mathematics; Social Sciences"
5;12094;"Journal of the American Statistical Association";journal;"01621459, 1537274X";4,405;Q1;215;178;470;7315;2186;429;3,66;41,10;23,78;26;34;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"1922-2023";"Statistics and Probability (Q1); Statistics, Probability and Uncertainty (Q1)";"Decision Sciences; Mathematics"
6;17945;"Bioinformatics";journal;"13674811, 13674803";3,400;Q1;462;896;2956;26743;25083;2942;6,99;29,85;28,58;10;166;United Kingdom;Western Europe;"Oxford University Press";"1985-2023";"Biochemistry (Q1); Computational Mathematics (Q1); Computational Theory and Mathematics (Q1); Computer Science Applications (Q1); Molecular Biology (Q1); Statistics and Probability (Q1)";"Biochemistry, Genetics and Molecular Biology; Computer Science; Mathematics"
7;21100887442;"Forum of Mathematics, Pi";journal;"20505086";3,389;Q1;20;14;22;624;69;22;3,00;44,57;17,86;0;0;United Kingdom;Western Europe;"Cambridge University Press";"2013-2023";"Algebra and Number Theory (Q1); Analysis (Q1); Discrete Mathematics and Combinatorics (Q1); Geometry and Topology (Q1); Mathematical Physics (Q1); Statistics and Probability (Q1)";"Mathematics"
8;15049;"Biometrika";journal;"14643510, 00063444";3,172;Q1;132;70;221;2140;561;212;2,46;30,57;22,58;2;8;United Kingdom;Western Europe;"Oxford University Press";"1908-1913, 1945, 1947-1951, 1965-2023";"Agricultural and Biological Sciences (miscellaneous) (Q1); Applied Mathematics (Q1); Mathematics (miscellaneous) (Q1); Statistics and Probability (Q1); Statistics, Probability and Uncertainty (Q1)";"Agricultural and Biological Sciences; Decision Sciences; Mathematics"
9;21100332429;"Annual Review of Statistics and Its Application";journal;"23268298, 2326831X";3,099;Q1;44;22;60;1950;520;58;8,65;88,64;30,91;2;2;United States;Northern America;"Annual Reviews Inc.";"2014-2023";"Statistics and Probability (Q1); Statistics, Probability and Uncertainty (Q1)";"Decision Sciences; Mathematics"
10;24724;"Annals of Probability";journal;"00911798";2,955;Q1;99;81;258;3000;623;258;2,30;37,04;11,36;0;0;United States;Northern America;"Institute of Mathematical Statistics";"1996-2023";"Statistics and Probability (Q1); Statistics, Probability and Uncertainty (Q1)";"Decision Sciences; Mathematics"
11;12137;"Journal of Statistical Software";journal;"15487660";2,852;Q1;174;62;195;3262;1398;195;5,96;52,61;21,39;4;5;United States;Northern America;"University of California at Los Angeles";"1996-2023";"Software (Q1); Statistics and Probability (Q1); Statistics, Probability and Uncertainty (Q1)";"Computer Science; Decision Sciences; Mathematics"
12;21101021638;"Stochastic Systems";journal;"19465238";2,525;Q1;8;16;39;505;94;30;2,41;31,56;15,79;0;2;United States;Northern America;"INFORMS Institute for Operations Research and the Management Sciences";"2019-2023";"Management Science and Operations Research (Q1); Modeling and Simulation (Q1); Statistics and Probability (Q1); Statistics, Probability and Uncertainty (Q1)";"Decision Sciences; Mathematics"
13;13631;"American Statistician";journal;"00031305, 15372731";2,478;Q1;97;48;208;1485;1700;182;8,23;30,94;17,43;2;0;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"1947-2023";"Mathematics (miscellaneous) (Q1); Statistics and Probability (Q1); Statistics, Probability and Uncertainty (Q1)";"Decision Sciences; Mathematics"
14;21100451321;"Scientific data";journal;"20524463";2,468;Q1;120;292;1087;14544;9229;415;7,96;49,81;31,92;37;85;United Kingdom;Western Europe;"Nature Publishing Group";"2014-2023";"Computer Science Applications (Q1); Education (Q1); Information Systems (Q1); Library and Information Sciences (Q1); Statistics and Probability (Q1); Statistics, Probability and Uncertainty (Q1)";"Computer Science; Decision Sciences; Mathematics; Social Sciences"
15;20969;"Journal of Machine Learning Research";journal;"15337928, 15324435";2,393;Q1;261;290;605;16703;5088;605;7,76;57,60;18,50;0;9;United States;Northern America;"Microtome Publishing";"2001-2022";"Artificial Intelligence (Q1); Control and Systems Engineering (Q1); Software (Q1); Statistics and Probability (Q1)";"Computer Science; Engineering; Mathematics"
16;19900191610;"Bayesian Analysis";journal;"19316690, 19360975";2,229;Q1;65;45;143;1862;413;143;2,43;41,38;30,23;0;4;United States;Northern America;"Carnegie Mellon University";"2006-2023";"Applied Mathematics (Q1); Statistics and Probability (Q1)";"Mathematics"
